name,ats,slug,monitor,seeded,priority,notes
Hopper,ashby,hopper,TRUE,FALSE,FALSE,consumer-marketplace
Houzz,lever,houzz,TRUE,FALSE,FALSE,consumer-marketplace
Ibotta,ashby,ibotta,TRUE,FALSE,FALSE,consumer-marketplace
Indeed,greenhouse,indeed,TRUE,FALSE,FALSE,consumer-marketplace
Instacart,greenhouse,instacart,TRUE,FALSE,FALSE,consumer-marketplace
Instawork,greenhouse,instawork,TRUE,FALSE,FALSE,consumer-marketplace
Klaviyo,greenhouse,klaviyo,TRUE,FALSE,FALSE,consumer-marketplace
Lyft,greenhouse,lyft,TRUE,FALSE,FALSE,consumer-marketplace
Mercari,greenhouse,mercari,TRUE,FALSE,FALSE,consumer-marketplace
Nextdoor,greenhouse,nextdoor,TRUE,FALSE,FALSE,consumer-marketplace
Niantic,ashby,niantic,TRUE,FALSE,FALSE,consumer-marketplace
OfferUp,greenhouse,offerup,TRUE,FALSE,FALSE,consumer-marketplace
OpenTable,greenhouse,opentable,TRUE,FALSE,FALSE,consumer-marketplace
Patreon,ashby,patreon,TRUE,FALSE,FALSE,consumer-marketplace
Poshmark,greenhouse,poshmark,TRUE,FALSE,FALSE,consumer-marketplace
Quora,ashby,quora,TRUE,FALSE,FALSE,consumer-marketplace
Ro,lever,ro,TRUE,FALSE,FALSE,consumer-marketplace
Rover,lever,rover,TRUE,FALSE,FALSE,consumer-marketplace
SeatGeek,greenhouse,seatgeek,TRUE,FALSE,FALSE,consumer-marketplace
Slice,greenhouse,slice,TRUE,FALSE,FALSE,consumer-marketplace
Snap,workday,snapchat.wd1.myworkdayjobs.com/snap,TRUE,FALSE,FALSE,consumer-marketplace
StockX,greenhouse,stockx,TRUE,FALSE,FALSE,consumer-marketplace
Strava,ashby,strava,TRUE,FALSE,FALSE,consumer-marketplace
Substack,ashby,substack,TRUE,FALSE,FALSE,consumer-marketplace
Sweetgreen,greenhouse,sweetgreen,TRUE,FALSE,FALSE,consumer-marketplace
Thumbtack,ashby,thumbtack,TRUE,FALSE,FALSE,consumer-marketplace
Toast,greenhouse,toast,TRUE,FALSE,FALSE,consumer-marketplace
Traba,ashby,traba,TRUE,FALSE,FALSE,consumer-marketplace
Twitch,greenhouse,twitch,TRUE,FALSE,FALSE,consumer-marketplace
Udemy,greenhouse,udemy,TRUE,FALSE,FALSE,consumer-marketplace
Via,greenhouse,via,TRUE,FALSE,FALSE,consumer-marketplace
Wayfair,smartrec,wayfair,TRUE,FALSE,FALSE,consumer-marketplace
Whoop,ashby,whoop,TRUE,FALSE,FALSE,consumer-marketplace
ZipRecruiter,greenhouse,ziprecruiter,TRUE,FALSE,FALSE,consumer-marketplace
Zola,greenhouse,zola,TRUE,FALSE,FALSE,consumer-marketplace
Airbyte,ashby,airbyte,TRUE,FALSE,FALSE,data-infra
Algolia,greenhouse,algolia,TRUE,FALSE,FALSE,data-infra
Astronomer,ashby,astronomer,TRUE,FALSE,FALSE,data-infra
ClickHouse,greenhouse,clickhouse,TRUE,FALSE,FALSE,data-infra
Cockroach Labs,greenhouse,cockroachlabs,TRUE,FALSE,FALSE,data-infra
Convex,ashby,convex-dev,TRUE,FALSE,FALSE,data-infra
Dagster Labs,greenhouse,dagsterlabs,TRUE,FALSE,FALSE,data-infra
Dataiku,greenhouse,dataiku,TRUE,FALSE,FALSE,data-infra
Domino Data Lab,greenhouse,dominodatalab,TRUE,FALSE,FALSE,data-infra
Elastic,greenhouse,elastic,TRUE,FALSE,FALSE,data-infra
Fivetran,greenhouse,fivetran,TRUE,FALSE,FALSE,data-infra
Imply,greenhouse,imply,TRUE,FALSE,FALSE,data-infra
InfluxData,ashby,influxdata,TRUE,FALSE,FALSE,data-infra
Inngest,ashby,inngest,TRUE,FALSE,FALSE,data-infra
Knock,greenhouse,knock,TRUE,FALSE,FALSE,data-infra
Lightning AI,greenhouse,lightningai,TRUE,FALSE,FALSE,data-infra
Materialize,greenhouse,materialize,TRUE,FALSE,FALSE,data-infra
Matillion,lever,matillion,TRUE,FALSE,FALSE,data-infra
MotherDuck,ashby,motherduck,TRUE,FALSE,FALSE,data-infra
Neo4j,greenhouse,neo4j,TRUE,FALSE,FALSE,data-infra
Palantir,lever,palantir,TRUE,FALSE,TRUE,data-infra
PingCAP,greenhouse,pingcap,TRUE,FALSE,FALSE,data-infra
PlanetScale,greenhouse,planetscale,TRUE,FALSE,FALSE,data-infra
Prefect,ashby,prefect,TRUE,FALSE,FALSE,data-infra
Redis,ashby,redis,TRUE,FALSE,FALSE,data-infra
Resend,ashby,resend,TRUE,FALSE,FALSE,data-infra
Sigma Computing,greenhouse,sigmacomputing,TRUE,FALSE,FALSE,data-infra
SingleStore,greenhouse,singlestore,TRUE,FALSE,FALSE,data-infra
StarTree,greenhouse,startree,TRUE,FALSE,FALSE,data-infra
Temporal,greenhouse,temporaltechnologies,TRUE,FALSE,FALSE,data-infra
Tinybird,lever,tinybird,TRUE,FALSE,FALSE,data-infra
Trigger.dev,ashby,triggerdev,TRUE,FALSE,FALSE,data-infra
Yugabyte,greenhouse,yugabyte,TRUE,FALSE,FALSE,data-infra
Blue Origin,workday,blueorigin.wd5.myworkdayjobs.com/BlueOrigin,TRUE,FALSE,FALSE,defense
Relativity Space,greenhouse,relativity,TRUE,FALSE,FALSE,defense
Saronic,ashby,saronic,TRUE,FALSE,FALSE,defense
Shield AI,lever,shieldai,TRUE,FALSE,FALSE,defense
SpaceX,greenhouse,spacex,TRUE,FALSE,FALSE,defense
Vast,ashby,vast,TRUE,FALSE,FALSE,defense
Apollo GraphQL,ashby,apollo-graphql,TRUE,FALSE,FALSE,dev-tools
Bitwarden,greenhouse,bitwarden,TRUE,FALSE,FALSE,dev-tools
Buildkite,greenhouse,buildkite,TRUE,FALSE,FALSE,dev-tools
CircleCI,greenhouse,circleci,TRUE,FALSE,FALSE,dev-tools
Clerk,ashby,clerk,TRUE,FALSE,FALSE,dev-tools
Cloudinary,lever,cloudinary,TRUE,FALSE,FALSE,dev-tools
Contentful,greenhouse,contentful,TRUE,FALSE,FALSE,dev-tools
Cypress,greenhouse,cypressio,TRUE,FALSE,FALSE,dev-tools
Descope,greenhouse,descope,TRUE,FALSE,FALSE,dev-tools
Docker,ashby,docker,TRUE,FALSE,FALSE,dev-tools
FullStory,ashby,fullstory,TRUE,FALSE,FALSE,dev-tools
GitLab,greenhouse,gitlab,TRUE,FALSE,FALSE,dev-tools
Gradle,greenhouse,gradle,TRUE,FALSE,FALSE,dev-tools
